Nload,Soil moisture,Grain unit,NSWRM cost,linE,hedge_share_con,buffer_share_con,grassslope_share_con,notill_share_con,lu_share,hedge_moran,buffer_moran,grassslope_moran,notill_moran,buffer_channel_frac,grassslope_channel_frac,notill_channel_frac
-5428.704,13.3108,18458.285,-48208.90933,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5418.104,13.3926,18525.256,-153980.3562,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5505.504,13.3114,18613.971,-20815.86708,0,0,0,0,0.148814444,0,1,0.992162991,0,0.173261935,0,0,0.000539521
-5506.604,13.3572,18635.068,-98421.09439,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5428.904,13.3216,18434.184,-69951.92175,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5394.804,13.3598,18521.711,-113482.2137,0,0,0,0,0.148814444,0,1,0.992162991,0,0.173261935,0,0,0.000539521
-5392.004,13.3916,18462.651,-171060.8026,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5506.304,13.3036,18608.289,-12103.49521,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5441.304,13.415,18660.551,-228547.3326,0,0,0,0,0.148814444,0,1,0.992162991,0,0.173261935,0,0,0.000539521
-5533.204,13.3726,18618.351,-91125.92332,0,0,0,0,0.430922182,0,1,0.992162991,0,0.659478285,0,0,0.499423816
-5411.904,13.434,18565.611,-218182.8515,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5428.804,13.3174,18451.863,-54209.06005,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5445.704,13.4214,18654.127,-233072.3112,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5506.204,13.319,18610.146,-30158.26055,0,0,0,0,0.148814444,0,1,0.992162991,0,0.173261935,0,0,0.000539521
-5384.604,13.4128,18488.242,-193310.3843,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5506.604,13.3624,18639.744,-105717.2431,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5385.804,13.4124,18501.937,-189497.6695,0,0,0,0,0.148814444,0,1,0.992162991,0,0.173261935,0,0,0.000539521
-5509.704,13.3,18614.985,-2897.237847,0,0,0,0,0.314233602,0,1,0.992162991,0,0.359830506,0,0,0.001483333
-5388.404,13.407,18533.231,-179489.8392,0,0,0,0,0.148814444,0,1,0.992162991,0,0.173261935,0,0,0.000539521
-5383.804,13.391,18340.732,-185720.2335,0,0,0,0,0.459483215,0,1,0.992162991,0,0.409040554,0,0,0.000109708
